Name,Riskiness R
ECON,[4.02605302]
EMCG,[0.28291645]
FSTA,[0.0975663]
FXG,[0.148628]
IYK,[0.07693999]
KXI,[0.10872792]
PBJ,[1.1604422]
PSCC,[0.0600834]
PSL,[0.03051599]
RHS,[0.08035266]
SZK,[4.05254891e+13]
UGE,[0.89588938]
VDC,[0.08751685]
WBID,[0.23068624]
WBIE,[0.07330984]
XLP,[0.20310417]
