,Date,ITM,MEAR,MLN,MUB,PVI,PZA,RVNU,SHM,SHYD,SMB,SMMU,SUB,TFI,VTEB
0,2007-09-01,,,,71.91056800000001,,,,,,,,,31.454643,
1,2007-10-01,,,,72.13192,,15.816923999999998,,38.528824,,,,,31.526007,
2,2007-11-01,,,,72.703087,23.141867,15.886514000000002,,38.749664,,,,,31.720523999999997,
3,2007-12-01,30.586909999999996,,,73.228561,23.104988,15.971429999999998,,38.778969000000004,,,,,31.924664,
4,2008-01-01,31.043026,,13.098591,73.846786,23.190839999999998,15.782106,,39.969341,,,,,32.5961,
5,2008-02-01,30.404770000000003,,12.146649,70.206108,23.076658,14.421508,,38.840076,,13.725141,,,30.776377,
6,2008-03-01,30.369558,,12.363706,72.411415,23.304157,15.068632000000001,,39.722355,,13.852870999999999,,,31.708555,
7,2008-04-01,30.489029,,12.622388,73.53427099999999,23.388048,15.581999,,39.623043,,13.714025,,,32.089073,
8,2008-05-01,30.580178999999998,,12.735076,73.984451,23.438499,15.648969000000001,,39.791477,,13.826654999999999,,,32.226833,
9,2008-06-01,30.123236,,12.414705999999999,72.713387,23.496561,15.442687,,39.561993,,13.625816,,,31.716877,
10,2008-07-01,30.320904,,12.310985,73.124992,23.557676,15.335320000000001,,40.006046000000005,,13.860226999999998,,,31.860102,
11,2008-08-01,30.756332,,12.587852999999999,74.168083,23.612307,15.392831,,40.19585,,14.017653,,,32.360359,
12,2008-09-01,29.56987,,11.613042,71.695702,23.626385,14.379810999999998,,39.236874,,13.788418,,,30.444643,
13,2008-10-01,29.063984,,11.115185,70.943741,23.748449,14.125542000000001,,39.805851000000004,,13.736547,,,30.750486,
14,2008-11-01,29.777578000000002,,11.180628,70.54469300000001,23.892534,13.751253,,40.59404,,13.894410999999998,,101.730003,31.242962,
15,2008-12-01,30.094766999999997,,10.611819,73.968391,23.949913000000002,14.101579000000001,,41.139571999999994,,13.957465,,102.25,31.93305,
16,2009-01-01,31.53133,,11.283875,74.502861,23.961358999999998,14.377218,,41.708172,,14.479338,,104.309998,33.022858,
17,2009-02-01,31.607283000000002,,11.577577,74.64505,23.990107000000002,14.713548000000001,,41.637928,,14.419654999999999,,103.57,32.917782,
18,2009-03-01,31.098809999999997,,11.585507000000002,74.8573,24.023689,14.829485,,41.908821,,14.383621,,105.25,33.274288,
19,2009-04-01,31.850121,,11.903428,76.58672299999999,24.056368,15.27629,,41.995647,,14.585603,,106.08000200000001,33.67091,
20,2009-05-01,32.103485,,12.196348,76.659767,24.092928,15.373880999999999,,41.947936999999996,,14.577426,,106.459999,33.79459,
21,2009-06-01,31.605902,,11.811311,75.547005,24.127634,15.288959,,41.953011,,14.600559,,107.300003,33.476913,
22,2009-07-01,32.245525,,12.156705,76.910896,24.137276,15.393787,,42.46714,,14.872129999999999,,106.699997,33.994087,
23,2009-08-01,32.6604,,12.602851,78.345665,24.163347,15.931334,,42.435951,,14.832869,,105.58000200000001,34.42691,
24,2009-09-01,33.96212,,13.297562,80.936638,24.198156,16.803288000000002,,42.80584,,15.054339,,106.019997,35.67281,
25,2009-10-01,32.942852,,12.901066,78.835167,24.204937,16.351055,,42.410713,,14.908992000000001,,105.110001,34.752518,
26,2009-11-01,33.50333,,12.856834,79.236137,24.210747,16.396229,,43.032871,,15.082457999999999,,105.489998,35.152451,
27,2009-12-01,33.337173,,12.941908,79.31460600000001,24.231091,16.6033,,42.938999,,15.075755,,105.050003,35.137867,
28,2010-01-01,33.727973999999996,,13.097363,80.07914699999999,24.238854999999997,16.620699,,43.216415000000005,,15.183932999999998,,105.389999,35.394024,
29,2010-02-01,34.027297999999995,,13.147572,80.50617199999999,24.232065,16.750002,,43.306072,,15.280029999999998,45.483501000000004,105.5,35.737057,
30,2010-03-01,33.731125,,13.188062,80.451431,24.234003,16.787374,,43.020721,,15.148926999999999,45.283660999999995,104.959999,35.514446,
31,2010-04-01,34.121365000000004,,13.378012,81.366875,24.236914000000002,17.006119,,43.214386,,15.208279999999998,45.401718,105.18,35.90871,
32,2010-05-01,34.392254,,13.472104999999999,82.04927099999999,24.240791,17.145044,,43.398216,,15.304927,45.613704999999996,105.290001,36.273154999999996,
33,2010-06-01,34.440536,,13.457709,81.784882,24.245644,17.14806,,43.459713,,15.305048000000001,45.661011,105.559998,36.212368,
34,2010-07-01,35.082611,,13.604308999999999,82.932175,24.253407,17.293447,,43.952690000000004,,15.481235999999999,46.04657,105.980003,36.750168,
35,2010-08-01,36.064705,,14.026998999999998,84.726212,24.260193,17.813587,,44.177559,,15.683592,46.205357,106.239998,37.767956,
36,2010-09-01,35.990086,,14.071055,84.69519,24.277673999999998,17.827654000000003,,44.036526,,15.657370000000002,46.138649,106.040001,37.5158,
