Date,Open,High,Low,Close,Adj Close,Volume
2005-03-01,null,null,null,null,null,null
2005-04-01,30.299999,30.696671,29.049999,30.260000,17.085407,6492000
2005-05-01,30.136669,30.313330,29.216669,30.083330,16.985659,4250100
2005-06-01,30.000000,32.163330,30.000000,31.379999,17.717783,6290400
2005-07-01,31.383329,32.966671,30.336670,32.413330,18.301218,5003400
2005-08-01,32.700001,33.633331,32.183331,32.930000,18.592941,5841300
2005-09-01,33.326672,34.650002,33.283329,34.383331,19.413523,7209900
2005-10-01,34.400002,34.536671,31.680000,32.533329,18.368975,9127500
2005-11-01,32.536671,33.750000,32.213329,33.099998,18.688921,5643000
2005-12-01,33.466671,34.163330,32.250000,32.889999,18.570360,6288600
2006-01-01,33.116669,35.356670,33.049999,35.266670,20.661882,9488100
2006-02-01,35.099998,35.290001,33.543331,34.566669,20.251774,6549600
2006-03-01,34.599998,35.016670,33.703331,34.983330,20.495884,6735300
2006-04-01,35.433331,38.603329,35.340000,37.913330,22.212498,8476800
2006-05-01,38.333328,39.240002,35.123329,35.650002,20.886471,14112600
2006-06-01,35.523331,36.200001,33.033329,35.766670,20.954819,14342100
2006-07-01,36.000000,36.500000,34.483330,36.146671,21.177458,7718700
2006-08-01,36.009998,37.360001,35.756672,37.283329,21.843397,5713500
2006-09-01,37.816669,38.316669,36.166672,36.983330,21.667635,7077600
2006-10-01,37.133331,39.799999,36.910000,39.770000,23.300278,5899500
2006-11-01,40.066669,41.766670,39.696671,41.676670,24.417351,8674200
2006-12-01,41.400002,42.663330,40.373329,41.746670,24.458357,9291900
2007-01-01,42.150002,43.186668,40.146671,42.403332,25.902370,14267400
2007-02-01,42.666672,44.996670,41.273331,42.669998,26.065262,15320400
2007-03-01,41.833328,44.953331,39.416672,44.783329,27.356211,16255500
2007-04-01,44.836670,48.009998,44.716671,46.529999,28.423176,13761000
2007-05-01,46.683331,48.716671,46.356670,47.966671,29.300774,11531400
2007-06-01,48.299999,49.863331,47.490002,48.939999,29.895336,10955100
2007-07-01,49.446671,52.189999,47.723331,48.666672,29.728373,16724100
2007-08-01,47.959999,49.403332,40.400002,48.716671,29.758913,26119200
2007-09-01,49.040001,55.509998,48.240002,55.433331,33.861832,12262500
