Date,Open,High,Low,Close,Adj Close,Volume
2006-06-01,49.950001,52.040001,49.310001,52.040001,29.587606,40700
2006-07-01,52.099998,53.529999,49.720001,53.200001,30.247135,84800
2006-08-01,52.509998,56.619999,52.509998,55.400002,31.497948,236700
2006-09-01,55.549999,56.070000,53.480000,55.160000,31.361496,298300
2006-10-01,55.250000,58.189999,55.160000,58.090000,33.027374,508700
2006-11-01,58.500000,60.349998,57.919998,60.240002,34.249760,445500
2006-12-01,60.200001,62.070000,59.669998,61.750000,35.108276,392300
2007-01-01,62.750000,63.130001,59.720001,62.290001,35.575802,693700
2007-02-01,62.790001,64.339996,60.880001,61.750000,35.267391,1064700
2007-03-01,60.650002,64.180000,59.020000,64.040001,36.575275,830400
2007-04-01,64.330002,68.099998,64.150002,67.449997,38.522831,803000
2007-05-01,67.739998,69.080002,66.769997,68.650002,39.208210,479900
2007-06-01,68.820000,69.339996,65.519997,67.910004,38.785564,365300
2007-07-01,68.559998,70.839996,65.370003,66.099998,37.751801,503300
2007-08-01,66.050003,68.150002,59.040001,66.010002,37.700420,704600
2007-09-01,65.739998,69.410004,64.330002,69.089996,39.459496,396400
2007-10-01,69.269997,73.589996,68.900002,73.419998,41.932491,338600
2007-11-01,72.099998,72.099998,66.080002,70.209999,40.099163,685800
2007-12-01,70.139999,71.669998,64.150002,66.250000,37.837482,450200
2008-01-01,66.599998,66.769997,54.959999,60.930000,35.819077,898800
2008-02-01,60.959999,61.849998,56.590000,59.400002,34.919636,644800
2008-03-01,59.259998,60.439999,56.500000,60.200001,35.389919,538100
2008-04-01,60.709999,64.099998,60.689999,63.119999,37.106514,516800
2008-05-01,62.540001,64.809998,62.540001,63.439999,37.294632,387900
2008-06-01,62.560001,62.560001,54.939999,56.540001,33.238316,471800
2008-07-01,55.410000,57.580002,52.490002,55.299999,32.509350,879000
2008-08-01,55.480000,56.950001,50.669998,53.209999,31.280689,398000
2008-09-01,53.770000,53.990002,45.009998,48.240002,28.358971,681100
2008-10-01,47.810001,48.599998,31.270000,36.419998,21.410315,1205300
2008-11-01,36.500000,39.560001,29.490000,33.779999,19.858334,574900
2008-12-01,32.900002,38.810001,31.860001,34.090000,20.040575,745200
2009-01-01,34.290001,35.290001,27.520000,29.000000,18.533220,372900
2009-02-01,28.299999,31.480000,26.219999,26.480000,16.922749,397100
2009-03-01,25.559999,30.040001,23.420000,28.450001,18.181728,765500
2009-04-01,28.070000,32.220001,28.010000,31.830000,20.441673,342900
2009-05-01,32.000000,36.700001,31.920000,35.619999,22.875652,176800
2009-06-01,36.830002,37.310001,33.320000,34.950001,22.445374,1026500
2009-07-01,35.110001,38.500000,32.369999,38.439999,25.334763,260300
2009-08-01,38.820000,41.740002,37.590000,40.580002,26.745188,289000
2009-09-01,40.209999,47.500000,39.169998,42.810001,28.214920,184100
2009-10-01,42.500000,46.650002,40.490002,41.520000,27.483767,623200
2009-11-01,41.980000,46.009998,41.209999,43.860001,29.032711,570600
2009-12-01,44.669998,45.259998,42.240002,43.500000,28.794416,683200
2010-01-01,44.279999,44.810001,40.349998,40.540001,27.014139,732800
2010-02-01,41.020000,41.700001,37.930000,39.820000,26.534365,253300
2010-03-01,39.740002,42.869999,39.700001,41.740002,27.813772,318700
2010-04-01,42.130001,43.759998,40.000000,40.619999,27.184425,550000
2010-05-01,40.720001,41.090000,33.610001,35.860001,23.998857,469000
2010-06-01,35.119999,37.919998,33.580002,33.580002,22.472996,609400
2010-07-01,34.209999,38.790001,33.750000,38.240002,26.294601,268500
2010-08-01,39.099998,39.849998,35.950001,36.770000,25.283798,184000
2010-09-01,38.230000,40.840000,38.049999,40.520000,27.862383,263100
2010-10-01,40.669998,42.840000,40.070000,42.490002,29.393045,206300
2010-11-01,42.570000,44.000000,38.139999,38.389999,26.556810,215800
2010-12-01,39.330002,41.730000,39.040001,41.099998,28.431482,241600
2011-01-01,41.160000,43.610001,39.720001,43.150002,30.107391,204300
2011-02-01,43.730000,44.669998,43.000000,44.340000,30.937706,213200
2011-03-01,44.419998,44.470001,40.049999,44.090000,30.763271,319700
2011-04-01,44.000000,47.340000,43.590000,47.340000,33.212322,459600
2011-05-01,47.490002,47.610001,43.759998,45.730000,32.082783,200000
2011-06-01,45.619999,45.709999,41.639999,44.240002,31.037443,467300
2011-07-01,44.009998,44.680000,40.740002,42.369999,30.414974,371700
2011-08-01,42.869999,42.869999,35.889999,39.630001,28.448092,755500
2011-09-01,39.619999,39.799999,33.869999,35.230000,25.289583,510100
2011-10-01,34.950001,41.619999,33.630001,39.259998,28.477402,360300
2011-11-01,37.299999,39.049999,34.160000,37.810001,27.425631,470400
2011-12-01,37.450001,38.180000,35.230000,36.560001,26.518940,832200
2012-01-01,37.259998,38.270000,35.770000,37.759998,27.636673,412300
2012-02-01,38.430000,39.790001,38.200001,39.169998,28.668657,645700
2012-03-01,39.450001,39.990002,37.680000,38.950001,28.507639,490500
2012-04-01,38.650002,39.330002,36.480000,37.740002,27.785643,792300
2012-05-01,37.549999,38.160000,33.549999,33.900002,24.958492,416900
2012-06-01,33.529999,36.880001,33.090000,36.029999,26.526676,349300
