,Date,ECON,EMCG,FSTA,FXG,IYK,KXI,PBJ,PSCC,PSL,RHS,SZK,UGE,VDC,WBID,WBIE,WBIL,XLP
0,2005-03-01,,,,,,,,,,,,,,,,,
1,2005-04-01,,,,,37.716568,,,,,,,,39.454304,,,,15.749512
2,2005-05-01,,,,,39.082466,,,,,,,,40.56855,,,,16.115931
3,2005-06-01,,,,,38.458267,,12.206263,,,,,,39.902901,,,,15.728762
4,2005-07-01,,,,,40.0163,,12.486485,,,,,,41.212502,,,,16.311707000000002
5,2005-08-01,,,,,39.802494,,11.843616,,,,,,40.387679999999996,,,,16.026882
6,2005-09-01,,,,,39.655066999999995,,11.959004,,,,,,40.930321,,,,16.172767999999998
7,2005-10-01,,,,,38.91386,,11.889869000000001,,,,,,40.583031,,,,16.176083
8,2005-11-01,,,,,39.483826,,11.980821,,,,,,40.879673,,,,16.322691
9,2005-12-01,,,,,39.424609999999994,,11.881599000000001,,,,,,40.467265999999995,,,,16.259854999999998
10,2006-01-01,,,,,39.906985999999996,,12.186155,,,,,,41.165473999999996,,,,16.369831
11,2006-02-01,,,,,40.055698,,12.293852000000001,,,,,,41.590305,,,,16.510166
12,2006-03-01,,,,,40.025951,,12.592086,,,,,,42.081078000000005,,,,16.559288000000002
13,2006-04-01,,,,,40.541348,,12.563948,,,,,,42.381393,,,,16.808542000000003
14,2006-05-01,,,,,40.033566,,12.489314,,,,,,42.571835,,,,16.843817
15,2006-06-01,,,,,39.921547,,12.704931,,,,,,43.150501,,,,17.062476999999998
16,2006-07-01,,,,,40.753890999999996,,12.464637,,,,,,43.765781,,,,17.423285999999997
17,2006-08-01,,,,,42.352534999999996,,12.838823,,,,,,45.413864000000004,,,,18.096957999999997
18,2006-09-01,,,,,42.540172999999996,19.04385,12.838823,,,,,,45.501765999999996,,,,17.997677
19,2006-10-01,,,,,43.987194,19.314404,13.335814000000001,,21.300307999999998,,,,46.410042,,,,18.408542999999998
20,2006-11-01,,,,,44.680737,19.599987,13.452356,,21.618853,37.271667,,,46.300156,,,,18.251747
21,2006-12-01,,,,,44.989826,20.013325,13.668792000000002,,22.054745,38.152103000000004,,,46.761623,,,,18.615223
22,2007-01-01,,,,,46.258888,20.510641,13.96011,,22.687414,38.763054,,,48.506836,,,,19.089296
23,2007-02-01,,,,,45.477546999999994,20.329329,13.926651000000001,,22.585911,38.344749,218.883362,9.720483999999999,47.807938,,,,18.795618
24,2007-03-01,,,,,45.727878999999994,21.092346,14.3616,,23.245724,39.305302000000005,215.23120099999997,9.855953,48.811684,,,,19.089296
25,2007-04-01,,,,,47.947887,21.859126999999997,14.683317,,23.886078,40.885883,200.196671,10.751429,50.380493,,,,19.723898000000002
26,2007-05-01,,,,17.079926,48.656605,22.025335000000002,14.917983,,24.233358,41.142334000000005,196.909775,10.838409,51.079388,,,,19.990236
27,2007-06-01,,,,16.96143,47.490665,21.658935999999997,14.649785000000001,,23.513385999999997,39.922222,202.38797,10.409211,50.164879,,,,19.471945
28,2007-07-01,,,,16.37742,46.313072,21.334085,13.920262,,23.067297,38.729263,217.532196,9.858456,48.767056,,,,19.03421
29,2007-08-01,,,,16.165833,47.286384999999996,21.946003,14.209026000000001,,23.067297,39.419052,213.072586,10.151834,50.001301,,,,19.483267
30,2007-09-01,,,,16.792157999999997,49.010777000000004,22.829887,14.616697,,23.699509,40.430191,196.999207,10.761600999999999,52.127747,,,,20.265501
31,2007-10-01,,,,17.096851,50.439243,23.642004,15.135453,,24.035585,41.436091999999995,191.49833700000002,10.861844999999999,53.079453,,,,20.691561
32,2007-11-01,,,,16.74984,50.246815000000005,24.189705,14.679151999999998,,23.830004000000002,41.829601000000004,192.184708,11.191472000000001,54.090618000000006,,,,21.259660999999998
33,2007-12-01,,,,16.284325,49.200008000000004,23.774207999999998,14.567225,,23.376011,41.506908,197.301331,10.769316,52.63335,,,,20.975604999999998
34,2008-01-01,,,,15.161901,46.514458000000005,22.315329000000002,13.513960999999998,,22.116846,38.328976000000004,224.070648,9.532084,50.646626,,,,19.911932
35,2008-02-01,,,,14.940558,46.073822,22.220354,13.746814,,22.339558,38.328976000000004,228.98077400000003,9.293894,50.639072,,,,19.860682999999998
36,2008-03-01,,,,13.961553,46.831409,23.082724,14.178017,,22.8792,39.032463,217.49238599999998,9.622686999999999,51.983814,,,,20.395082000000002
37,2008-04-01,,,,15.732276999999998,46.875403999999996,23.097919,14.49836,,22.8792,39.909084,220.61506699999998,9.534967,51.885597,,,,20.34959
38,2008-05-01,,,,15.851460999999999,47.147263,23.268875,14.567642999999999,,23.238958,40.630534999999995,218.87539700000002,9.674344999999999,52.769493000000004,,,,20.967798000000002
39,2008-06-01,,,,14.634087,42.929634,21.084452,13.121272,,21.303101,37.491081,259.645721,7.995933,49.226353,,,,19.68721
40,2008-07-01,,,,15.42804,44.678669,21.562359,13.661964999999999,,22.114792,38.565189000000004,241.316437,8.532685,50.790172999999996,,,,20.253201999999998
41,2008-08-01,,,,15.5651,46.120434,21.773792,13.870282000000001,,22.493132,39.258266,225.957062,9.055213,52.17268,,,,20.80019
42,2008-09-01,,,,14.991151,44.733234,21.320171,13.210621,,21.85685,38.437733,228.01554900000002,8.507658000000001,51.334106,,,,20.401042999999998
43,2008-10-01,,,,13.140819,38.077095,18.556164000000003,11.595491,,19.293915,33.495102,291.721588,5.889908,45.411224,,,,17.950119
44,2008-11-01,,,,11.607432000000001,36.603840000000005,17.967987,10.699516000000001,,17.696877,30.595709000000003,300.207153,5.376647,44.119381,,,,17.912905
45,2008-12-01,,,,12.121417,36.266865,18.317814000000002,11.343224000000001,,18.111238,32.093464000000004,235.21418799999998,5.259796,43.703869,,,,17.764067
46,2009-01-01,,,,12.11844,33.804871,17.010015,10.702331,,16.924646,32.158009,335.998352,4.493107,41.219814,,,,16.624810999999998
47,2009-02-01,,,,11.235522,31.048359,15.653719,9.957288,,15.760419,29.084190000000003,391.431793,3.768557,38.19677,,,,15.281315
48,2009-03-01,,,,11.244178,32.383167,16.20945,10.255302,,16.273024,30.221747999999998,344.532654,4.110747,39.623463,,,,15.836727999999999
49,2009-04-01,,,,12.681078999999999,35.111118,16.831245000000003,11.166887,,18.113298,32.625735999999996,294.98632799999996,4.7551,41.952442,,,,16.610023
50,2009-05-01,,,,12.715705,37.156818,18.405172,11.535025,,18.635042000000002,33.866535,258.557526,5.306005,44.204308000000005,,,,17.455631
51,2009-06-01,,,,12.984043,37.196609,18.238062,11.421074,,18.869835000000002,34.30447,252.868011,5.3284,44.48193,,,,17.357477
52,2009-07-01,,,,14.329857,40.87812,19.994194,12.05253,,20.293820999999998,36.9356,209.72239700000003,6.35531,47.427849,,,,18.654335
53,2009-08-01,,,,14.460683,40.822002000000005,20.313566,12.05253,,20.346415,37.539501,209.44581599999998,6.320851,47.867424,,,,18.882576
54,2009-09-01,,,,15.079928,42.353229999999996,21.117907000000002,12.27311,,20.960051999999997,38.616726,191.428986,6.81825,49.55632,,,,19.369473
55,2009-10-01,,,,15.027597,42.241295,21.453045,12.150922,,20.996965,39.743034,192.89086899999998,6.746697,49.918781,,,,19.791258
56,2009-11-01,,,,15.132257000000001,44.562088,22.363846,12.337039,,21.322437,40.350288,172.108292,7.506189999999999,51.831317999999996,,,,20.519159
57,2009-12-01,,,,15.542182999999998,44.747414,22.320475,12.585199000000001,,21.700682,40.965767,166.93238799999997,7.739302,50.659115,,,,20.281643
58,2010-01-01,,,,15.475575,44.415955,22.115807,12.496799000000001,,21.468329999999998,41.152671999999995,171.752686,7.4744720000000004,51.504329999999996,,,,20.264886999999998
59,2010-02-01,,,,16.281771,45.982796,22.589743,13.131016,,22.229360999999997,42.566032,158.832718,7.980628,53.071796,,,,20.906866
60,2010-03-01,,,,17.140556,47.890625,23.442038,13.899227999999999,,23.220485999999998,44.566216,143.93721000000002,8.716441,55.24881,,,,21.602985
61,2010-04-01,,,,16.79879,48.157707,22.976060999999998,14.327992000000002,24.167509,23.770485,45.265495,143.226028,8.727149,54.670914,,,,21.461489
62,2010-05-01,,,,15.966301999999999,45.212101000000004,21.546282,13.890292,23.370975,22.53944,42.536457,159.504379,7.653294,51.955574,,,,20.467257
63,2010-06-01,,,,15.510625,43.588341,21.128099,13.497256,22.2848,21.689234,41.225861,168.31526200000002,7.1246979999999995,50.593948,,,,19.807022
64,2010-07-01,,,,16.60894,47.175983,22.91218,14.059588,24.012821,23.286852,43.632137,144.09526100000002,8.229624000000001,53.77636,,,,21.106976
65,2010-08-01,,,,16.265491,46.116676,22.564659,13.898185999999999,22.917213,22.601942,42.673640999999996,149.66626000000002,7.882792,52.802643,,,,20.71582
