Name,Riskiness R
AGF,[3.27641552e+12]
AGQ,[8.43389045e+11]
BCM,[8.79544329e+11]
BDD,[0.58991268]
BNO,[1.19724385]
BOIL,[226.16052491]
BOM,[1.3466366e+13]
BOS,[8.84973554e+11]
CANE,[2.96173253e+12]
CORN,[1.66717706e+13]
CPER,[3.77640453e+11]
DAG,[7.14079298e+12]
DBA,[8.89091809e+12]
DBB,[1.11674596]
DBC,[2.03621421e+12]
DBE,[7.65362392]
DBO,[3.33288625e+11]
DBP,[1.77555319e+12]
DBS,[1.1115787e+12]
DDP,[3.07960555e+11]
DGAZ,[1.73293047]
DGL,[1.57340822e+12]
DGLD,[1.03759331e+13]
DGP,[7.66375778e+11]
DGZ,[1.22374385e+12]
DJCI,[1.77418343e+12]
DJP,[1.83986538e+12]
DSLV,[5.33107729e+12]
DTO,[3.32363418e+12]
DYY,[12.12351643]
DZZ,[8.42112272e+12]
FTGC,[5.45317573e+12]
FUD,[1.92952877e+12]
FUE,[6.61585368e+11]
GCC,[1.62017637e+12]
GLD,[1.70984297e+12]
GLL,[7.84041969e+12]
GLTR,[1.94365268e+12]
GRU,[4.75413506e+12]
GSC,[6.49388882e+11]
GSG,[4.83977787e+11]
GSP,[7.4730706e+11]
IAU,[1.41232372e+12]
KOLD,[1.18676057]
LD,[0.84479224]
NIB,[5.34125813e+12]
OLEM,[8.40281537e+11]
OLO,[3.01119124e+11]
OUNZ,[1.24954052e+12]
PALL,[1.02075179]
PDBC,[5.56797525e+11]
PPLT,[6.84744994e+11]
RJA,[4.64007193e+12]
RJI,[1.42873338e+12]
RJN,[1.11068481e+12]
RJZ,[1.21294493e+12]
SCO,[1.58834839e+13]
SGOL,[1.44215458e+12]
SIVR,[2.8571664e+12]
SLV,[2.09022337e+12]
SOYB,[1.55463584e+12]
SZO,[9.289066e+12]
TAGS,[6.07525798e+12]
UAG,[1.31596576e+12]
UBG,[3.95767461e+11]
UCI,[8.74412698e+11]
UCO,[5.31920248e+11]
UGA,[7.61401184e+11]
UGAZ,[7.81702253e+12]
UGL,[8.66106019e+11]
UGLD,[3.09509818e+11]
UNG,[1.70959476e+12]
UNL,[3.61980091e+12]
USCI,[2.77443387e+12]
USL,[60.48811729]
USLV,[1140.61619349]
USO,[3.25410184e+12]
USV,[8.38367502e+11]
WEAT,[3.84823327e+12]
ZSL,[3.38430011e+12]
