,Date,DGL,DGLD,DGP,DGZ,DZZ,GLD,GLL,IAU,OUNZ,SGOL,UBG,UGLD
0,2014-01-01,0.0344400175442496,-0.10411912228122218,0.06812745019920317,-0.03432930705657984,-0.06631989596879072,0.03418870907194174,-0.0717666480417913,0.03339041095890416,,0.03404864790428657,0.032124680912064905,0.09642296595227214
1,2014-02-01,0.06562873121847158,-0.17922249810247987,0.12495341756633406,-0.06451612903225798,-0.12813370473537605,0.06270303314857299,-0.11873044992154935,0.0646230323115161,,0.06299540046568677,0.07087824126723447,0.19645387943262407
2,2014-03-01,-0.03349065114895999,0.08525227829495345,-0.06100795755968169,0.030964109781843736,0.05910543130990417,-0.03142142223582302,0.05620492251257697,-0.03190661478599223,,-0.030976216865047757,-0.03482011510791356,-0.09543563299529868
3,2014-04-01,0.004883709687503682,-0.021971393016014678,0.00882768361581921,-0.006143344709897601,-0.00904977375565605,0.004934875779185532,-0.01576295189814252,0.0048231511254019695,,0.004838581740303115,0.006559242499724413,0.012450812092366446
4,2014-05-01,-0.03378847474314617,0.08986004277150496,-0.0630031501575079,0.02953296703296701,0.059360730593607254,-0.030510392605776825,0.05929124194353424,-0.02959999999999994,,-0.030865195768866458,-0.03643362182663655,-0.09579289967637543
5,2014-06-01,0.0658682446747011,-0.17520829661984222,0.12588714979454613,-0.06337558372248173,-0.1264367816091954,0.06319017686622913,-0.11955823247784193,0.061830173124484744,0.060559999999999975,0.0624745881520221,0.06486320519099945,0.1975662605060758
6,2014-07-01,-0.03752807959017374,0.10184877103213864,-0.07067017487293208,0.03490028490028492,0.06907894736842105,-0.03631673113259214,0.06759229000618334,-0.03571428571428578,-0.03145508033491739,-0.035571902245140945,-0.03233253557541962,-0.10938435548025664
7,2014-08-01,0.0021013362098556395,-0.015069146415916687,0.00464116387004634,-0.00206469373709562,-0.004615384615384654,0.003809076941478813,-0.0073010149531820365,0.0032206119162641648,0.0015576323987538609,0.003974562703309315,0.002386575178997501,0.007382590604026897
8,2014-09-01,-0.06453864382912206,0.20441638156415193,-0.12402271229647169,0.06068965517241385,0.12364760432766612,-0.061763296772458454,0.12893589274658324,-0.06099518459069033,-0.060653188180404306,-0.06191607137174816,-0.08005946905115885,-0.1765490135956424
9,2014-10-01,-0.0338730024385282,0.08381352692753374,-0.062474604462474576,0.030559167750325023,0.06189821182943607,-0.030548102835798112,0.05608715505063427,-0.029914529914529885,-0.03112582781456949,-0.03072254311134679,-0.023293400194111982,-0.09870547085283933
10,2014-11-01,-0.006702888975139093,0.003987360947622974,-0.012548722953322251,0.004416403785488977,0.011658031088082884,-0.004881972132718936,0.0028915951807229282,-0.005286343612334846,-0.004101161995898993,-0.004528004337443604,0.008612122934345103,-0.024237028290179066
11,2014-12-01,0.01583190561548973,-0.07124802364896035,0.029798422436459235,-0.015703517587939697,-0.03201024327784891,0.013112130825866252,-0.0368092444937268,0.013286093888396844,0.01321207961564874,0.013383467459762126,0.007224925871102644,0.03219871294016687
